S.NO,Tower No,Tower Type ,Tower Type & Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earthwire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
89,88,A,S ,26,87-88,298.1915852976072,10.99,249,,11.46325,78.59181,GOOD,,LT LINE 3,,,"AGRI LAND,COMPOUND WALL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59181 11.46325, 78.58942 11.46408)"
90,89,C,T,26,88-89,276.5966391118078,5.17,250,"27⁰4'43"" LT",11.46408,78.58942,GOOD,,LT LINE 2,"TAR ROAD CROSSING,CEMENT ROAD",,"AGRI LAND,COMPOUND WALL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58942 11.46408, 78.58679 11.46373)"
91,90,A,S ,26,89-90,289.69967950743376,1.62,249,,11.46373,78.58679,GOOD,,"LT LINE 2,22KV LINE 1",,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58679 11.46373, 78.58395 11.46337)"
92,91 LILO,B,T,24,90-91 LILO,312.5732269679527,1.37,251,"0⁰9'24"" RT",11.46337,78.58395,GOOD,,22KV LINE 3,SMALL SAND ROAD CROSSING,,LILO TO KUDAMALAI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58395 11.46337, 78.58137 11.46305)"
93,92,A,S,26,91 LILO-92,283.8599652670627,0.88,250,,11.46305,78.58137,GOOD,,"LT LINE-1,22KV LINE 2",TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58137 11.46305, 78.57873 11.46273)"
94,93,A,S,26,92-93,290.36062240854085,0.46,252,,11.46273,78.57873,GOOD,,LT LINE 4,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57873 11.46273, 78.57644 11.46245)"
95,94,B,T,24,93-94,251.8994109407358,0.79,254,"7⁰16'38"" RT",11.46245,78.57644,GOOD,,"LT LINE 1,",SAND ROAD CROSSING,CANAL CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57644 11.46245, 78.57368 11.46246)"
96,95,A,S,26,94-95,301.296105479469,3.63,255,,11.46246,78.57368,GOOD,,"LT LINE-1,22KV LINE 1",,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57368 11.46246, 78.57066 11.46253)"
97,96,A,S,26,95-96,329.7684896006349,2.18,258,,11.46253,78.57066,GOOD,,LT LINE 3,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57066 11.46253, 78.56811 11.46253)"
98,97,B,T,24,96-97,278.3705804500829,1.76,259,"14⁰34'15"" LT",11.46253,78.56811,GOOD,,,TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56811 11.46253, 78.56538 11.46183)"
99,98,C,T,26,97-98,307.92551359582853,4.09,259,"18⁰54'26"" LT",11.46183,78.56538,GOOD,,LT LINE 1,,CANAL CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56538 11.46183, 78.56305 11.46031)"
100,99,A,S,26,98-99,304.95076010149904,7.81,259,,11.46031,78.56305,GOOD,,LT LINE 1,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56305 11.46031, 78.56149 11.45928)"
101,100,C,T,26,99-100,204.92908812816404,1.04,259,"28⁰49'28"" RT",11.45928,78.56149,GOOD,,22KV LINE 2,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56149 11.45928, 78.55881 11.45905)"
102,101,B,T,24,100-101,293.67264382279353,0.86,223,"6⁰39'00"" RT",11.45905,78.55881,GOOD,,LT LINE 1,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55881 11.45905, 78.55604 11.45913)"
103,102,A,S,26,101-102,302.52271001637115,2.17,226,,11.45913,78.55604,GOOD,,"LT LINE 1,22KKV LINE 2,11KV 1",,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55604 11.45913, 78.55338 11.45922)"
104,103,A,S,26,102-103,290.5559893233997,4..54,269,,11.45922,78.55338,GOOD,,"LT LINE -1,WIRE CABLE CROSSING",SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55338 11.45922, 78.55063 11.45931)"
105,104,D,T,28,103-104,300.37595779443285,0.63,270,"33⁰40'00"" LT",11.45931,78.55063,GOOD,,"LT LINE -1,WIRE CABLE CROSSING",SAND ROAD CROSSING,PIT CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55063 11.45931, 78.54878 11.45818)"
106,105,C,T,26,104-105,237.54551663964824,6.87,265,"27⁰17'21"" RT",11.45818,78.54878,GOOD,,,SAND ROAD CROSSING,CANAL CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54878 11.45818, 78.54645 11.458)"
107,106,C,T,26,105-106,255.14113993308945,1.03,265,"17⁰11'49"" RT",11.458,78.54645,GOOD,,"LT LINE 1,22KV LINE 1",TAR ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54645 11.458, 78.54371 11.45861)"
108,107,B,T,24,106-107,306.64527394396777,1.08,269,"0⁰37'19"" RT",11.45861,78.54371,GOOD,,LT LINE 1,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54371 11.45861, 78.54076 11.4593)"
109,108,A,S,26,107-108,330.9768097784599,4.13,271,,11.4593,78.54076,GOOD,,"LT LINE 1,22KV LINE 1",,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54076 11.4593, 78.53807 11.45992)"
110,109,A,S,26,108-109,301.5729799066853,0.67,273,,11.45992,78.53807,GOOD,,"LT LINE -1,WIRE CABLE CROSSING 2",TAR ROAD CROSSING 1,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53807 11.45992, 78.53516 11.46059)"
111,110,B,T,24,109-110,326.21912443574064,0.43,275,"5⁰54'56"" LT",11.46059,78.53516,GOOD,,LT LINE 1,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53516 11.46059, 78.5322 11.46096)"
112,111,A,S,26,110-111,325.7227738366627,8.79,279,,11.46096,78.5322,GOOD,,"LT LINE 1,22KV LINE 1",,LAKE CROSSING 1(T.NO 111-112 WATER),AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5322 11.46096, 78.52928 11.46127)"
113,112,A,S,26,111-112,320.61305215454365,0.95,282,,11.46127,78.52928,GOOD,,,SAND ROAD CROSSING,LAKE CROSSING,TOWER IN LAKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52928 11.46127, 78.52713 11.46153)"
114,113,B,T,24,112-113,236.46981440336435,0.68,284,"12⁰25'34"" RT",11.46153,78.52713,GOOD,,,SAND ROAD CROSSING 2,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52713 11.46153, 78.52457 11.46242)"
115,114,C,T,26,113-114,296.32163390459266,0.63,287,"24⁰14'36"" RT",11.46242,78.52457,GOOD,,,,CANAL CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52457 11.46242, 78.52169 11.46218)"
116,115,B,T,24,114-115,315.5257813325206,0.28,289,"0⁰30'27"" LT",11.46218,78.52169,GOOD,,"LT LINE -2,WIRE CABLE CROSSING 2",,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.52169 11.46218, 78.51876 11.46191)"
117,116,A,S,26,115-116,321.2579434070864,0.72,292,,11.46191,78.51876,GOOD,,"22KV LINE,WIRE CABLE CROSSING",TAR ROAD CROSSING ,CANAL CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51876 11.46191, 78.51574 11.46164)"
118,117,C,T,26,116-117,331.04285165900734,,293,"16⁰1'53"" LT",11.46164,78.51574,GOOD,,LT LINE 2,TAR ROAD CROSSING ,CANAL CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51574 11.46164, 78.51318 11.46066)"
119,118,A,S,26,117-118,299.78311016354417,0.33,295,,11.46066,78.51318,GOOD,,LT LINE 1,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.51318 11.46066, 78.5107 11.45973)"
120,119,A,S,26,118-119,289.64735907856874,0.23,298,,11.45973,78.5107,GOOD,,,SAND ROAD CROSSING,SMALL CANAL CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5107 11.45973, 78.50776 11.4586)"
121,120,B,T,24,119-120,344.4673286558993,2.83,303,"10⁰11'43"" RT",11.4586,78.50776,GOOD,,LT LINE 1,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50776 11.4586, 78.50533 11.45813)"
122,121,A,S,26,120-121,270.33844624299,0.22,309,,11.45813,78.50533,GOOD,,LT LINE 1,TAR ROAD CROSSING ,ROCK CROSSING,SMALL FOREST AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.50533 11.45813, 78.5022 11.45751)"
123,122,A,S,26,121-122,348.5297941926717,0.16,313,,11.45751,78.5022,GOOD,,LT LINE 1,SAND ROAD CROSSING 3,SMALL ROCK CROSSING,SMALL FOREST AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5022 11.45751, 78.49943 11.45696)"
124,123,A,S,26,122-123,308.47315561893964,0.26,315,,11.45696,78.49943,GOOD,,,,,SMALL FOREST AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49943 11.45696, 78.49662 11.45641)"
125,124,A,S,26,132-124,312.75659689117686,0.14,318,,11.45641,78.49662,GOOD,,,SAND ROAD CROSSING,,"GRI LAND, FENCING CROSSING,SMALL FOREST AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49662 11.45641, 78.49384 11.45589)"
126,125,B,T,24,124-125,308.9101228488703,2.33,313,"8⁰17'36"" RT",11.45589,78.49384,GOOD,,,SAND ROAD CROSSING,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49384 11.45589, 78.49194 11.45581)"
127,126,A,S,26,125-126,207.6186776487852,2.73,312,,11.45581,78.49194,GOOD,,,,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49194 11.45581, 78.49001 11.45577)"
128,127,A,S,26,126-127,210.7518481745475,1.83,313,,11.45577,78.49001,GOOD,,"LT LINE 2,WIRE CABLE CROSSING",TAR ROAD CROSSING ,,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.49001 11.45577, 78.48795 11.45573)"
129,128,C,T,26,127-128,224.94186574246206,1.79,320,"29⁰9'34"" LT",11.45573,78.48795,GOOD,,,,CANAL CROSSING,AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48795 11.45573, 78.48552 11.45433)"
130,129,C,T,26,128-129,307.22874431685113,3.78,307,"24⁰21'49"" RT",11.45433,78.48552,GOOD,,LT LINE 1,SAND ROAD CROSSING 2,,"AGRI LAND,FENCING",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48552 11.45433, 78.48425 11.4542)"
131,130,B,T,,129-130,139.39656408505746,0.28,310,"5⁰55'29"" RT",11.4542,78.48425,GOOD,,"22KV LINE 3,LT LINE 1,WIRE CABLE CROSSING",TAR ROAD CROSSING ,,TOWER INSIDE THE THAMMAMPATTI SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.48425 11.4542, 78.483719 11.4542)"
132,THAMAMPATTY GANTRY,GANTRY,T,20,130-GANTRY,57.97188795179873,,310,,11.4542,78.483719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTOAL SPAN LENGTH ,,,,,,=SUM(G8:G138),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
