S. No ,Tower No,Supspension/Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Longitude,Latitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
89,T.NO 84,S,SA,26,83-84,316.9858040985432,,31,,79.99347222222222,13.02175,GOOD,GOOD,,LAKE,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99347222222222 13.02175, 79.99147222222223 13.01977777777778)"
90,T.NO 85,S,SA,26,84-85,306.8843430349616,2.16,37,,79.99147222222223,13.01977777777778,GOOD,GOOD,,LAKE,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.99147222222223 13.01977777777778, 79.98947222222222 13.018027777777778)"
91,T.NO 86,S,SA,26,85-86,289.66359798911566,3.37,45,,79.98947222222222,13.018027777777778,GOOD,GOOD,LT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98947222222222 13.018027777777778, 79.98769444444444 13.01613888888889)"
92,T.NO 87,S,SA,26,86-87,286.5257405539684,1.91,43,,79.98769444444444,13.01613888888889,GOOD,GOOD,,MUD ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98769444444444 13.01613888888889, 79.98558333333334 13.014277777777778)"
93,T.NO 88,S,SA,26,87-88,307.3532169995948,2.42,44,,79.98558333333334,13.014277777777778,GOOD,GOOD,HT -1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98558333333334 13.014277777777778, 79.98363888888889 13.012333333333334)"
94,T.NO 89,S,SA,26,88-89,299.1070042643602,3.07,45,,79.98363888888889,13.012333333333334,GOOD,GOOD,LT-1  HT-1,ROAD-1,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98363888888889 13.012333333333334, 79.98158333333333 13.010444444444444)"
95,T.NO 90,T,SB,24,89-90,305.6304958606062,2.14,44,"12°31'50""",79.98158333333333,13.010444444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98158333333333 13.010444444444444, 79.97925000000001 13.009055555555555)"
96,T.NO 91,S,SA,26,90-91,297.03871801500895,4.16,46,,79.97925000000001,13.009055555555555,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97925000000001 13.009055555555555, 79.97694444444444 13.007694444444445)"
97,T.NO 92,S,SA,26,91-92/1,291.03436223236594,3.34,44,,79.97694444444444,13.007694444444445,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97694444444444 13.007694444444445, 79.97458333333334 13.006222222222222)"
98,T.NO 93,S,SA,26,92/1-93,304.4355432599814,2.88,42,,79.97458333333334,13.006222222222222,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97458333333334 13.006222222222222, 79.97216666666667 13.00475)"
99,T.NO 94,S,SA,26,93-94,308.56603831270866,2.13,46,,79.97216666666667,13.00475,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97216666666667 13.00475, 79.96983333333334 13.003333333333334)"
100,T.NO 95,S,SA,26,94-95,298.41246622753545,1.96,50,,79.96983333333334,13.003333333333334,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.96983333333334 13.003333333333334, 79.96738888888889 13.001888888888889)"
101,T.NO 96,T,DD,28,95-96,309.5561338432821,3.71,46,"51°3'41""",79.96738888888889,13.001888888888889,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.96738888888889 13.001888888888889, 79.96730555555555 13.001194444444444)"
102,T.NO 97,T,DD,28,96-97,75.66372975210778,3.43,46,"46°26'53""",79.96730555555555,13.001194444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.96730555555555 13.001194444444444, 79.96755555555556 13.00088888888889)"
103,T.NO 98,T,DB,24,97-98,46.22769732530488,2.22,45,"2°55'21""",79.96755555555556,13.00088888888889,GOOD,GOOD,110kv CROSSING BELOW,,PLAIN,KORATTUR - THIRUMALISAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.96755555555556 13.00088888888889, 79.96933333333334 12.998972222222221)"
104,T.NO 99,S,DA,26,98-99,284.682279041039,1.48,44,,79.96933333333334,12.998972222222221,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.96933333333334 12.998972222222221, 79.97119444444445 12.99686111111111)"
105,T.NO 100,S,DA,26,99-100,307.7174028227848,2.79,45,,79.97119444444445,12.99686111111111,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97119444444445 12.99686111111111, 79.97286111111111 12.995083333333332)"
106,T.NO 101,S,DA,26,100-101,268.2032811134122,1.97,40,,79.97286111111111,12.995083333333332,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97286111111111 12.995083333333332, 79.97461111111112 12.993166666666665)"
107,T.NO 102,S,DA,26,101-102,286.2621176474456,2.33,43,,79.97461111111112,12.993166666666665,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97461111111112 12.993166666666665, 79.97633333333333 12.991194444444444)"
108,T.NO 103,S,DA,26,102-103,286.6810073932349,1.19,43,,79.97633333333333,12.991194444444444,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97633333333333 12.991194444444444, 79.97788888888888 12.989638888888887)"
109,T.NO 104,T,DB,24,103-104,239.0188277102873,1.46,41,"0°29'3""",79.97788888888888,12.989638888888887,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97788888888888 12.989638888888887, 79.97980555555556 12.987666666666666)"
110,T.NO 105,S,DA,26,104-105,304.1742921418574,2.33,44,,79.97980555555556,12.987666666666666,GOOD,GOOD,HT-2  LT-1,HIGH WAY,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97980555555556 12.987666666666666, 79.98138888888889 12.985888888888889)"
111,T.NO 106,T,DD,28,105-106,258.0426321366297,3.16,46,"44°6'51""",79.98138888888889,12.985888888888889,GOOD,GOOD,"LT-1  HT-1,110KV CROSSING BELOW",,PLAIN,THIRUVERKADU - SRIPERUMPUDHUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98138888888889 12.985888888888889, 79.98130555555555 12.983388888888888)"
112,T.NO 107,T,DD,28,106-107,278.14564530116235,2.33,38,"39°47'47""",79.98130555555555,12.983388888888888,GOOD,GOOD,,POND,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.98130555555555 12.983388888888888, 79.97961111111111 12.9815)"
113,T.NO 108,T,DB,24,107-108,278.3684608571883,4.11,44,"12°42'40""",79.97961111111111,12.9815,GOOD,GOOD,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97961111111111 12.9815, 79.97883333333334 12.98088888888889)"
114,T.NO 109,T,DD,28,108-109,107.29864864013899,6.73,43,"80°57'38""",79.97883333333334,12.98088888888889,GOOD,GOOD,110 KV CROSSING BELOW,MUD ROAD,PLAIN,SRIPERUMPUDHUR - PORUR SPR 110KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97883333333334 12.98088888888889, 79.97858333333333 12.981083333333334)"
115,T.NO 110,T,DB,24,109-110,36.124783736376884,7.13,43,"12°42'40""",79.97858333333333,12.981083333333334,GOOD,GOOD,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(79.97858333333333 12.981083333333334, 79.97827777777778 12.9815)"
116,GT 400KV SRIPERUMPUDUR SS,T,GANTRY,15,110-GT,56.61271941887264,,51,,79.97827777777778,12.9815,GOOD,MISSING,,,PLAIN,400KV SRIPERUMPUDHUR SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,29453M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
