,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
88,T.NO - 87,,DA,S,26,86-87,296.0675599,1.84,151,,9.06149151,77.51021988,GOOD,GOOD,NO,,"POND, NALA",PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51021988 9.06149151, 77.51250977 9.06264153)"
89,T.NO - 88,,DC,T,26,87-88,282.2091423,4.74,151,"29°13'27.77""",9.06264153,77.51250977,GOOD,GOOD,NO,11KV,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51250977 9.06264153, 77.51508183 9.06253348)"
90,T.NO - 89,,DA,S,26,88-89,283.1766233,3.6,155,,9.06253348,77.51508183,GOOD,GOOD,NO,33KV,"TAAR ROAD, NALA",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51508183 9.06253348, 77.51786285 9.0624059)"
91,T.NO - 90,,DA,S,26,89-90,306.2352037,3.4,158,,9.0624059,77.51786285,MISSING PARTS,GOOD,NO,2nos LT,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51786285 9.0624059, 77.52065314 9.06230535)"
92,T.NO - 91,,DA,S,26,90-91,307.1318935,9.58,162,,9.06230535,77.52065314,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52065314 9.06230535, 77.52334336 9.06219643)"
93,T.NO - 92,,DA,S,26,91-92,296.1688707,5.62,163,,9.06219643,77.52334336,GOOD,GOOD,NO,,NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52334336 9.06219643, 77.52581539 9.062089)"
94,T.NO - 93,,DA,S,29,92-93,272.1837615,1.69,172,,9.062089,77.52581539,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52581539 9.062089, 77.52831463 9.06197233)"
95,T.NO - 94,2W,DC,T,29,93-94,275.2199121,2.41,175,"20°31'56.53""",9.06197233,77.52831463,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52831463 9.06197233, 77.53049 9.06104458)"
96,T.NO - 95,,DA,S,29,94-95,260.3862516,2.97,169,,9.06104458,77.53049,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53049 9.06104458, 77.53301849 9.05991558)"
97,T.NO - 96,,DA,S,29,95-96,304.9098227,3.14,172,,9.05991558,77.53301849,GOOD,GOOD,NO,"33KV, LT",TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53301849 9.05991558, 77.5356921 9.05874037)"
98,T.NO - 97,,DA,S,29,96-97,321.5726978,4.11,171,,9.05874037,77.5356921,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION,"FOOTING DAMAGE,NUT BOLT MISSING BOTTEM OF THE TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5356921 9.05874037, 77.53782202 9.05782195)"
99,T.NO - 98,,DA,S,26,97-98,255.3918558,3.67,176,,9.05782195,77.53782202,GOOD,GOOD,NO,2nos LT,MUD ROAD,CULTIVATION,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53782202 9.05782195, 77.53967954 9.05695059)"
100,T.NO - 99,,DD,T,31,98-99,225.9424706,2.67,171,"48°8'59.14""",9.05695059,77.53967954,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53967954 9.05695059, 77.54184046 9.05785731)"
101,T.NO - 100,,DA,S,26,99-100,258.0174413,3.67,172,,9.05785731,77.54184046,GOOD,GOOD,NO,,"MUD ROAD, TAAR ROAD",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54184046 9.05785731, 77.54421072 9.05879871)"
102,T.NO - 101,,DA,S,29,100-101,280.777492,4.13,171,,9.05879871,77.54421072,GOOD,GOOD,NO,"LT,11KV",MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54421072 9.05879871, 77.54648989 9.05971361)"
103,T.NO - 102,,DD,T,28,101-102,270.38676,5.13,172,"41°18'19.11""",9.05971361,77.54648989,GOOD,GOOD,NO,33KV,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54648989 9.05971361, 77.54768841 9.06208187)"
104,T.NO - 103,,DA,S,29,102-103,293.3751864,5.67,171,,9.06208187,77.54768841,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54768841 9.06208187, 77.54889571 9.06440487)"
105,T.NO - 104,,DB,T,24,103-104,289.3527259,4.77,169,"14°49'28.25""",9.06440487,77.54889571,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54889571 9.06440487, 77.549459 9.06693116)"
106,T.NO - 105,,DA,S,26,104-105,286.3564213,4.11,168,,9.06693116,77.549459,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.549459 9.06693116, 77.55004043 9.06944829)"
107,T.NO - 106,,DB,T,24,105-106,285.8058782,3.89,168,"3°31'30.37""",9.06944829,77.55004043,GOOD,GOOD,NO,33KV,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55004043 9.06944829, 77.55046764 9.07201167)"
108,T.NO - 107,,DA,S,26,106-107,287.5430403,3.63,168,,9.07201167,77.55046764,GOOD,GOOD,NO,"2nos LT, 11KV","TAAR ROAD, 2nos MUD ROAD",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55046764 9.07201167, 77.55090433 9.0746292)"
109,T.NO - 108,,DC,T,26,107-108,293.625612,2.67,167,"28°31'44.68""",9.0746292,77.55090433,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55090433 9.0746292, 77.55040534 9.07606045)"
110,T.NO - 109,,DB,T,24,108-109,167.6305461,2.67,167,"9°19'27.74""",9.07606045,77.55040534,GOOD,GOOD,NO,33KV,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55040534 9.07606045, 77.55026557 9.07686567)"
111,T.NO - 110,,DD,T,28,109-110,90.42676595,2.18,166,"93°51'4.72""",9.07686567,77.55026557,GOOD,GOOD,NO,33KV,,PLAIN LAND,OUR EARTH WIRE CONNECT TO 230KV N.M.PATTY T.NO - 403 FROM THIS TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55026557 9.07686567, 77.55067498 9.07690799)"
112,GANTRY 230KV AMUTHAPURAM,2W,GANTRY,GANTRY,20,110-GANTRY,45.27692569,,165,,9.07690799,77.55067498,GOOD,MISSING,NO,,,INSIDE SS,NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
