SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
79,74,S,,GC,23.62,T73-T74,264.6682002847904,39.87,19,8.78062838443304,78.0162324383854,NOT AVAILABLE,,,PLAIN LAND,"Dc line, plain land, T.No.28  To T.No.29  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0162324383854 8.78062838443304, 78.0138425901532 8.78037225333999)"
80,75,S,,GC,23.62,T74-T75,264.70866153190906,38.98,20,8.78037225333999,78.0138425901532,NOT AVAILABLE,,,PLAIN LAND,"Dc line, plain land, T.No.29  To T.No.30  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0138425901532 8.78037225333999, 78.0115399137139 8.78013169538648)"
81,76,S,,GC,23.62,T75-T76,254.9804231700714,38.76,20,8.78013169538648,78.0115399137139,NOT AVAILABLE,,,PLAIN LAND,"Dc line, plain land, T.No.30  To T.No.31  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0115399137139 8.78013169538648, 78.0090625584125 8.77992228392805)"
82,77,T,"22°15'60""RT",HC,22.94,T76-T77,273.80703798295485,36.97,21,8.77992228392805,78.0090625584125,NOT AVAILABLE,,,PLAIN LAND,"Dc line, plain land, T.No.31  To T.No.32  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0090625584125 8.77992228392805, 78.0066066607832 8.77867674719413)"
83,78,S,,GC,23.62,T77-T78,303.5820086649079,42.980000000000004,21,8.77867674719413,78.0066066607832,NOT AVAILABLE,,,PLAIN LAND,"Dc line, plain land, T.No.32  To T.No.33  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0066066607832 8.77867674719413, 78.0042630806565 8.77763962509517)"
84,79,S,,GC,23.62,T78-T79,282.4793771304447,40.980000000000004,21,8.77763962509517,78.0042630806565,NOT AVAILABLE,,,PLAIN LAND,"Dc line, plain land, T.No.33  To T.No.34  earth wire is not available",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0042630806565 8.77763962509517, 78.0024955 8.776816552)"
85,80,S,,GC,23.62,T79-T80,214.93049928751992,38.98,23,8.776816552,78.0024955,AVAILABLE,,,PLAIN LAND," dc line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0024955 8.776816552, 77.99977507 8.775340716)"
86,81,S,,GC+3,26.62,T80-T81,350,40.980000000000004,25,8.775340716,77.99977507,AVAILABLE,"11KV LINE, LT LINE",ROAD,PLAIN LAND," dc line , 11kv line, Lt line, road 1, store and busstop, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99977507 8.775340716, 77.99893353 8.774838387)"
87,82,T,"15°08'90""LT",HC,22.94,T81-T82,108.08222407968142,44.56,25,8.774838387,77.99893353,AVAILABLE,,,PLAIN LAND,"dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99893353 8.774838387, 77.9977832 8.773651483)"
88,83,T,"36°86'93""RT",KC,24,T82-T83,182.52183058470186,39.980000000000004,25,8.773651483,77.9977832,AVAILABLE,,,PLAIN LAND,"dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9977832 8.773651483, 77.99746737 8.771123914)"
89,84,S,,GC,23.62,T83-T84,281.9676027578157,34..96,27,8.771123914,77.99746737,AVAILABLE,LT LINE,,PLAIN LAND,"dc line , lt line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99746737 8.771123914, 77.99728867 8.768737817)"
90,85,S,,GC,23.62,T84-T85,264.8844250650642,98.99,27,8.768737817,77.99728867,AVAILABLE,LT LINE,,PLAIN LAND," dc line, Lt line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99728867 8.768737817, 77.99700703 8.766721171)"
91,86,S,,GC+3,26.62,T85-T86,225.39686733616924,37.58,28,8.766721171,77.99700703,AVAILABLE,LT LINE,ROAD,PLAIN LAND," dc line , Lt line, road ,  fencing, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99700703 8.766721171, 77.99690478 8.764796301)"
92,87,S,,GC,23.62,T86-T87,213.38934478792635,38.17,28,8.764796301,77.99690478,AVAILABLE,11KV LINE,,PLAIN LAND," dc line, 11kv line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99690478 8.764796301, 77.99675658 8.762658686)"
93,88,S,,GC,23.62,T87-T88,237.2064394425117,36.41,32,8.762658686,77.99675658,AVAILABLE,,,PLAIN LAND,"dc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99675658 8.762658686, 77.99652524 8.76074705)"
94,89,T,"15°93'68""LT",HC,22.94,T88-T89,213.15474995643686,40.18,34,8.76074705,77.99652524,AVAILABLE,,,PLAIN LAND," dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99652524 8.76074705, 77.99569812 8.758789675)"
95,90,S,,GC,23.62,T89-T90,235.06001643200085,38.54,36,8.758789675,77.99569812,AVAILABLE,LT LINE,,PLAIN LAND," dc line ,  lt line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99569812 8.758789675, 77.99474794 8.756660641)"
96,91,S,,GC,23.62,T90-T91,257.87958931638855,34.89,36,8.756660641,77.99474794,AVAILABLE,11KV LINE,,PLAIN LAND," dc line, plain land, 11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99474794 8.756660641, 77.99379475 8.754456042)"
97,92,T,"00°00'00""",HC,22.94,T91-T92,265.6792085541908,39.45,37,8.754456042,77.99379475,AVAILABLE,,,PLAIN LAND," dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99379475 8.754456042, 77.99305312 8.752735565)"
98,93,T,"58°98'71""LT",KC,24,T92-T93,207.239121753147,35.27,37,8.752735565,77.99305312,AVAILABLE,,,PLAIN LAND," dc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.99305312 8.752735565, 77.99271282 8.752689173)"
Gantry,Vagaikulam,,,,,T93-Vagaikulam Gantry,37.82931832579005,,37,8.752689173,77.99271282,AVAILABLE,,,,Vagaikulam gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H7:H105)/1000,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
