,TOWER NO,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
83,82,S,,A,22,T81 - T82,274.4379024114472,above 200,107,8.93736844520074,77.5672601535916,GOOD,AVAILABLE,,,AGRI LAND,"SC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5672601535916 8.93736844520074, 77.5643110647797 8.93740222815575)"
84,83,S,,A,25,T82 - T83,324.54337460503507,above 200,105,8.93740222815575,77.5643110647797,GOOD,AVAILABLE,LT LINE,,AGRI LAND,"SC Line,lt line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5643110647797 8.93740222815575, 77.5613991916179 8.93743667351842)"
85,84,S,,A,25,T83 - T84,320.4479100025639,above 200,104,8.93743667351842,77.5613991916179,GOOD,AVAILABLE,LT LINE,,AGRI LAND,"SC Line,lt line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5613991916179 8.93743667351842, 77.5584759190678 8.93747873660111)"
86,85,S,,A,22,T84 - T85,321.712109579336,above 200,102,8.93747873660111,77.5584759190678,GOOD,AVAILABLE,,,AGRI LAND,"SC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5584759190678 8.93747873660111, 77.5555090606212 8.93759664568889)"
87,86,S,,A,22,T85 - T86,326.7349802791562,above 200,103,8.93759664568889,77.5555090606212,GOOD,AVAILABLE,,,AGRI LAND,"SC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5555090606212 8.93759664568889, 77.5525834411382 8.93759200881537)"
88,87,S,,A,22,T86 - T87,321.93569437389164,above 200,104,8.93759200881537,77.5525834411382,GOOD,AVAILABLE,,,AGRI LAND,"SC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5525834411382 8.93759200881537, 77.5496839731931 8.93763903995833)"
89,88,S,,A,25,T87- T88,319.10006488875365,above 200,103,8.93763903995833,77.5496839731931,GOOD,AVAILABLE,LT LINE-2NOS,ROAD,AGRI LAND,"SC Line,lt line-2nos,road.agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5496839731931 8.93763903995833, 77.5466567650437 8.93770627460989)"
90,89,S,,A,25,T88- T89,333.1956018691912,above 200,103,8.93770627460989,77.5466567650437,GOOD,AVAILABLE,LT LINE,,AGRI LAND,"SC Line,lt line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5466567650437 8.93770627460989, 77.5438598915934 8.93769700086558)"
91,90,S,,A,25,T89 - T90,307.768140989263,above 200,103,8.93769700086558,77.5438598915934,GOOD,AVAILABLE,"400KV LINE, 33KV LINE-2NOS",CART TRACK,AGRI LAND,"SC Line,33 kv line- 2,400kv Line,cart track,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5438598915934 8.93769700086558, 77.5409875810146 8.93783842544059)"
92,91,S,,A,22,T90 - T91,316.45380830226907,above 200,104,8.93783842544059,77.5409875810146,GOOD,AVAILABLE,400KV LINE,CART TRACK-2NOS,PLAIN LAND,"SC Line,cart track- 2nos,400kv tower above the line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5409875810146 8.93783842544059, 77.5378379970788 8.93788247570682)"
93,92,S,,A+3,22,T91 - T92,346.61092246634325,above 200,104,8.93788247570682,77.5378379970788,GOOD,AVAILABLE,,ODAI(NALA),PLAIN LAND,"SC Line,odai(nala),plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5378379970788 8.93788247570682, 77.5345325097441 8.93790930330997)"
94,93,S,,A,25,T92 - T93,363.7432972221099,above 200,105,8.93790930330997,77.5345325097441,GOOD,AVAILABLE,LT LINE-2NOS,,AGRI LAND,"SC Line,lt line-2,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5345325097441 8.93790930330997, 77.5318938866257 8.93794540464935)"
95,94,S,,A,25,T93 - T94,290.3768876821936,above 200,107,8.93794540464935,77.5318938866257,GOOD,AVAILABLE,"LT LINE, 33KV LINE",CART TRACK-2NOS,AGRI LAND,"SC Line,cart track- 2,lt line,33kv line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5318938866257 8.93794540464935, 77.5290574505925 8.93795865284642)"
96,95,S,,A,22,T94 - T95,312.11873422306854,above 200,107,8.93795865284642,77.5290574505925,GOOD,AVAILABLE,,,AGRI LAND,"SC Line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5290574505925 8.93795865284642, 77.5260808691382 8.93799276695157)"
97,96,S,,A,25,T95 - T96,327.5585639378609,above 200,108,8.93799276695157,77.5260808691382,GOOD,AVAILABLE,"11OKV LINE, LT LINE",CART TRACK,PLAIN LAND,"SC Line,lt line, cart track,110kv tower below the line,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5260808691382 8.93799276695157, 77.522845454514 8.9380967652719)"
98,97,S,,A+3,25,T96- T97,356.2024936310206,above 200,114,8.9380967652719,77.522845454514,GOOD,AVAILABLE,LT LINE-2NOS ,"CART TRACK, POND",PLAIN LAND,"SC Line,lt Line-2, cart track,pond,plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.522845454514 8.9380967652719, 77.5195902585983 8.93808649792313)"
99,98,T,"14°12'33""RT",C,25,T97 - T98,358.1949507251855,above 200,114,8.93808649792313,77.5195902585983,GOOD,AVAILABLE,LT LINE-2NOS ,ROAD,AGRI LAND," SC Line,lt line-2,road,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5195902585983 8.93808649792313, 77.5166767090559 8.93887012764619)"
100,99,S,,A+3,22,T98 - T99,332.1189472372493,above 200,114,8.93887012764619,77.5166767090559,GOOD,AVAILABLE,,POND,PLAIN LAND,"SC Line,pond,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5166767090559 8.93887012764619, 77.5136692821979 8.93970343618691)"
101,100,S,,A,25,T99 - T100,343.5342754661461,above 200,123,8.93970343618691,77.5136692821979,GOOD,AVAILABLE,11KV LINE,ROAD,AGRI LAND,"SC Line,road,11kv line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5136692821979 8.93970343618691, 77.5108620151877 8.94035855579174)"
102,101,S,,A,25,T100 - T101,317.2931248703441,above 200,122,8.94035855579174,77.5108620151877,GOOD,AVAILABLE,11KV LINE,CART TRACK-2NOS,PLAIN LAND,"SC Line,cart track- 2,11kv line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5108620151877 8.94035855579174, 77.5079860165715 8.94113853740434)"
103,102,S,,A,25,T101 - T102,328.02209709859403,above 200,122,8.94113853740434,77.5079860165715,GOOD,AVAILABLE,LT LINE-2NOS,CART TRACK,PLAIN LAND,"SC Line,lt line-2,cart track,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5079860165715 8.94113853740434, 77.5051908195018 8.94197184075487)"
104,103,S,,A,25,T102 - T103,321.0957960812457,above 200,122,8.94197184075487,77.5051908195018,GOOD,AVAILABLE,LT LINE,"CART TRACK, ODAI(NALA)",PLAIN LAND,"SC Line,cart track,lt line,odai(nala),plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5051908195018 8.94197184075487, 77.5021947920322 8.94268624119497)"
105,104,S,,A+3,25,T103 - T104,339.01296289670034,above 200,122,8.94268624119497,77.5021947920322,GOOD,AVAILABLE,"LT LINE-2NOS, 66KV LINE","CART TRACK, ROAD",AGRI LAND,"SC Line,cart track, lt line-2,66kv line,road, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5021947920322 8.94268624119497, 77.4993841722607 8.94348443381641)"
106,105,S,,A,22,T104 - T105,321.62969982877814,above 200,120,8.94348443381641,77.4993841722607,GOOD,AVAILABLE,,CART TRACK,PLAIN LAND,"SC Line,cart track.plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4993841722607 8.94348443381641, 77.4965111911296 8.94423625680134)"
107,106,S,,A,22,T105 - T106,326.8885442502672,above 200,121,8.94423625680134,77.4965111911296,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4965111911296 8.94423625680134, 77.4937156587839 8.94502152928329)"
108,107,T,"7°16'2""RT",C,22,T106 - T107,319.6401677401668,above 200,120,8.94502152928329,77.4937156587839,GOOD,AVAILABLE,,ROAD,PLAIN LAND,"SC Line,road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4937156587839 8.94502152928329, 77.4925069883465 8.94551567710448)"
109,108,T,"71°25'46""RT",LS,37,T107 - T108,143.79691332576323,above 200,120,8.94551567710448,77.4925069883465,GOOD,AVAILABLE,LT LINE,,PLAIN LAND,"LILO. Dc Line,lt line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4925069883465 8.94551567710448, 77.4925894662737 8.94698619346157)"
110,109,T,,KSR,34,T108 - T109,162.98018560847646,above 200,119,8.94698619346157,77.4925894662737,GOOD,AVAILABLE,,CART TRACK,AGRI LAND,"dc line, cart track,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4925894662737 8.94698619346157, 77.4928322061896 8.94933834488439)"
111,110,S,,GR,34,T109 - T110,261.65488202029525,above 200,121,8.94933834488439,77.4928322061896,GOOD,AVAILABLE,,,PLAIN LAND,"dc line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4928322061896 8.94933834488439, 77.4929153546691 8.95166100497369)"
112,111,T,"10°57'5""LT",LS,34,T110 - T111,257.1877116524076,above 200,124,8.95166100497369,77.4929153546691,GOOD,AVAILABLE,,,AGRI LAND,"dc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4929153546691 8.95166100497369, 77.49283055682545 8.95231804098152)"
113,Gantry (Veeranam S/s),T,,,,T111 - Gantry (Veeranam),74.74758519844914,,124,8.95231804098152,77.49283055682545,GOOD,AVAILABLE,,,,gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H7:H118)/1000,Km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
